transaction_id,customer_id,property_id,value,transaction_date,transaction_type,status
1,2,33,1305645.8,2023-01-01,Auction,Canceled
2,14,22,544224.92,2023-01-08,Auction,Canceled
3,13,31,463124.61,2023-01-15,Auction,Pending
4,26,5,225037.56,2023-01-22,Rental,Completed
5,25,3,1201729.25,2023-01-29,Sale,Canceled
6,22,22,1271923.09,2023-02-05,Rental,Canceled
7,6,6,584510.35,2023-02-12,Rental,Completed
8,6,24,1149524.31,2023-02-19,Auction,Canceled
9,17,38,1363173.1,2023-02-26,Rental,Pending
10,5,24,743753.73,2023-03-05,Sale,Completed
11,29,23,283282.47,2023-03-12,Rental,Canceled
12,7,8,440897.5,2023-03-19,Rental,Canceled
13,19,9,1216323.17,2023-03-26,Auction,Pending
14,17,16,981423.07,2023-04-02,Rental,Canceled
15,14,28,653051.74,2023-04-09,Rental,Canceled
16,4,11,806535.78,2023-04-16,Sale,Canceled
17,29,8,835334.94,2023-04-23,Auction,Canceled
18,6,17,1018227.68,2023-04-30,Auction,Pending
19,19,12,1100533.98,2023-05-07,Rental,Canceled
20,7,1,979693.51,2023-05-14,Auction,Pending
